BLL150	#6	selfCheck+selfCheck	act 2D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL150	#8	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL150	#10	selfCheck+selfCheck	act 3D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL150	#12	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2I	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL150	#17	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL150	#22	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL152	#8	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL153	#8	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL154	#4	crossword+crossword	act 1D	other -	built 0	[create crossword]Please create a cross word like this see activity 1C [Body] [The words in black sh
BLL154	#11	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL155	#9	flipCard+flipCard	act 2B	other -	built 0	[flip card] can you set up so that the word is presented on one side and when they flip it the see t
BLL155	#10	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL156	#8	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL157	#7	carousel+accordion	act 2C	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL160	#3	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL160	#5	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL160	#7	selfCheck+selfCheck	act 2D	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL160	#9	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL160	#15	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 3G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL160	#20	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL160	#25	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL161	#3	modal+modal,modal	act 1C	other -	built 1	[Modal 1] Can we have snip of the front cover of the book ‘Weka in a Flap’ as the modal image that t
BLL163	#9	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL164	#11	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL165	#11	carousel+dropDown	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL166	#1	flipCard+flipCard,flipCard,flipCard,flipCard,flipCard,flipCard,flipCard	act -	other -	built 0	[flipcards] Please have these presented in one line like this [1st flipcard image] - [2nd flipcard i
BLL167	#2	unclassified+dragAndDrop	act 1E	other -	built 0	[body] [drag and drop] The words are already in the correct columns
BLL170	#2	selfCheck+selfCheck	act 1C	other -	built 1	[Self check] [Add an audio that when they click/hover on the letter it says the name of the letter. 
BLL170	#3	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 1H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL170	#9	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal i text] [Modal 2 Image] same image from BLL110 [Modal 
BLL170	#14	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 3G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal 1 text] [Modal 2 Image] same image from BLL110 [Modal 
BLL170	#19	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 4H	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal 1 text] [Modal 2 Image] same image from BLL110 [Modal 
BLL170	#25	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 5G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal 1 text] [Modal 2 Image] same image from BLL110 [Modal 
BLL170	#30	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 6G	other -	built 0	[Modal 1 Image] same image from BLL110 [Modal 1 text] [Modal 2 Image] same image from BLL110 [Modal 
BLL171	#6	modal+modal,modal,modal	act 2B	other -	built 1	[Modal 1 image] [Modal 1 text] [Modal 2 image] [Modal 2 text] [image 1] [image 2] [image 3]
BLL172	#7	modal+modal,modal,modal,modal,modal,modal,modal,modal,modal,modal,modal	act 2E	other -	built 1	[modal 1 image] [modal 1 text] [modal 2 image] [modal 2 text] [modal 3 image] [modal 3 text] [modal 
BLL173	#9	carousel+accordion	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL174	#8	carousel+accordion	act 2D	other -	built 0	[carousel] [embed book 1] Are we able to embed just the story into the module, not the other ‘stuff’
BLL176	#7	selfCheck+multiChoiceQuiz	act 2C	other -	built 0	[Self check] please set up so that these words can be dragged across and used in the correct place. 
