gold externalButtons 873 on 440 pages / 198 modules (prepared 198, prep refused 0)
  source: HREF 526 · TEXT-only 140 · NONE 207 · NOPREP 0

== gold buttons by WT source signature (count · pages · modules · Claude today) ==
  NONE                                                        207 · 135 pages ·  84 mods · claude {"ABSENT":187,"PLAIN":7,"A":11,"BUTTON_PLAIN":1,"BUTTON":1}
  HREF/para/[designer please link]/STANDALONE/URL               1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  TEXT/para/[image link]/STANDALONE                             1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[link httpscollectionstepapagovtnzsearchnuclearfreeresultspager]/INLINE/URL    1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  TEXT/para/[activity embedded]/INLINE                          1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[from secsend]/STANDALONE                           1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[from secsend]/STANDALONE                           1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[link]/INLINE/list                                  1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[video link from]/STANDALONE                        1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[graph link]/STANDALONE/URL                         1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[link to external]/STANDALONE/URL                   1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  TEXT/para/[embedded webpage item]/INLINE                      1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[h]/INLINE                                          1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[interactive activityitem]/STANDALONE               1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[pdf item]/STANDALONE                               1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[interactive activity item]/STANDALONE              1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[pdfitem]/STANDALONE                                1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  TEXT/para/[embedded webpage]/STANDALONE                       1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[cs please can]/STANDALONE/URL                      1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[alert]/STANDALONE/URL                              1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[school journal link]/INLINE/URL                    1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[body text]/INLINE                                  1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[embeded link item]/STANDALONE                      1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[video item]/STANDALONE                             1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[embed website]/STANDALONE/URL                      1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[embedded tool]/STANDALONE                          1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[interactive tool]/INLINE                           1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[have a go]/STANDALONE/URL                          1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[external link button]/INLINE/list/URL              1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[alert  pop]/INLINE/URL                             1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[activity c optional]/INLINE/URL                    1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[activity  selfcheck]/INLINE/URL                    1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  HREF/para/[]/INLINE/URL                                       1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[item]/INLINE/URL                                   1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[itemvideo]/STANDALONE/URL                          1 ·   1 pages ·   1 mods · claude {"A":1}
  TEXT/para/[itemvideo]/INLINE                                  1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[website]/INLINE/URL                                1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[embed]/INLINE/URL                                  1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[activity embedded]/INLINE                          1 ·   1 pages ·   1 mods · claude {"A":1}
  HREF/para/[insert item]/STANDALONE                            1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  TEXT/para/[external link to]/INLINE                           1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[alert solid set]/INLINE/URL                        1 ·   1 pages ·   1 mods · claude {"BUTTON":1}
  HREF/para/[button link to]/INLINE/URL                         1 ·   1 pages ·   1 mods · claude {"BUTTON_PLAIN":1}
  TEXT/para/[hover]/INLINE                                      1 ·   1 pages ·   1 mods · claude {"PLAIN":1}
  HREF/para/[link to a]/INLINE/URL                              1 ·   1 pages ·   1 mods · claude {"A":1}
