
== ALL — Claude row-open h3 with no gold heading of that text: 764
   gold inside WIDGET (h4)                  6 (0.20)  pages    1 / modules   1
   NOWHERE in gold — WT h2                  4 (0.13)  pages    3 / modules   3
   NOWHERE in gold — WT untagged            4 (0.13)  pages    2 / modules   1
   gold inside WIDGET (li)                  1 (0.03)  pages    1 / modules   1

== series=SSOG3 — Claude row-open h3 with no gold heading of that text: 27
   NOWHERE in gold — WT h3                 21 (0.78)  pages    6 / modules   1
   NOWHERE in gold — WT untagged            6 (0.22)  pages    4 / modules   1

examples:
  gold merged into p → [('AGH1001', 'AGH1001_2_0.html', 'Here are some well-known jobs that people can do when farming and grow'), ('AGH1008', 'AGH1008_2_0.html', 'Digestibility of feed'), ('ANZH303', 'ANZH303_6_0.html', 'The significance'), ('CEDT104', 'CEDT104_0_0.html', 'Waiata I te Neke | Waiata in Motion'), ('CEDT104', 'CEDT104_0_0.html', 'Waiata I te Neke | Waiata in Motion')]
  NOWHERE in gold — WT h3 → [('AGH1001', 'AGH1001_2_0.html', 'Career Example:'), ('AGH1004', 'AGH1004_2_0.html', 'Topographic Descriptions'), ('AGH1006', 'AGH1006_1_0.html', 'Can you name some of the benefits to people and nature mentioned in th'), ('AGH1006', 'AGH1006_2_0.html', 'Propagation Methods – The How and Why of Propagation'), ('AGH1006', 'AGH1006_2_0.html', 'Fill in the sentences to complete the summary statement about propagat')]
  NOWHERE in gold — WT not found → [('AGH1001', 'AGH1001_3_0.html', 'Te reo korero:'), ('AGH1006', 'AGH1006_0_0.html', 'Plant Management Practice:Tick ✔'), ('AGH1006', 'AGH1006_4_0.html', 'Knowledge CheckTrue/False'), ('ART1004', 'ART1004_0_0.html', 'TASK 4: Showcasing your work'), ('ART1005', 'ART1005_0_0.html', 'Activity 1 Develop workbook drawings using the resource pages you crea')]
  gold p → [('AGH1004', 'AGH1004_5_0.html', 'Take a look at this farm and its plan to improve production through th'), ('AGH1005', 'AGH1005_0_0.html', 'Watch this introductory video of a garden coming to life with plant fl'), ('AGH1005', 'AGH1005_2_0.html', 'Match the label to the correct part of the plant.'), ('AGH1006', 'AGH1006_0_0.html', 'Watch this introductory video of management practices that include man'), ('CEDT104', 'CEDT104_0_0.html', 'Find a comfy spot where:')]
