ENGS401	5.0	modal	X		«[Modal] [video]»	after«https://www.youtube.com/watch?»	cell0«»	head«»	owner«»	prev«p»
ENGS404	8.0	dropDown	h		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Nearly there!»	owner«»	prev«p»
ENGS404	9.0	dropDown	h e p		«[add a button to the working towards dropbox- form»	after«»	cell0«»	head«Congratulations! Ngā mihi nui. You have completed this modul»	owner«»	prev«p»
ENO2060	3.0	carousel	X		«[insert video carousel with text above video]»	after«»	cell0«»	head«»	owner«»	prev«p»
ENO2060	8.0	dropDown	E		«[button] Upload to assessment dropbox [include fin»	after«»	cell0«»	head«»	owner«»	prev«p»
EXIP901	2.0	multiChoiceQuiz	h p I p p p p I		«[Quiz – not teacher graded]»	after«»	cell0«»	head«Reflection»	owner«»	prev«T»
EXIP901	4.0	dropDown	h e p p e X		«[button to dropbox]»	after«Upload your journal.»	cell0«»	head«Learning Intentions»	owner«»	prev«e»
EXIP901	4.0	unclassified	h p T		«[Activity] Drag and drop [Dev – in the table below»	after«»	cell0«»	head«Match the learning intention to the learning goal»	owner«»	prev«e»
FRFUN06	1.0	multiChoiceQuiz	h p p ?		«[multichoice checklist autocheck]»	after«**bonjour nom maman rose son p»	cell0«»	head«**Self check**»	owner«»	prev«p»
FRFUN07	3.0	dragAndDrop	X		«[Drag and drop column autocheck]»	after«»	cell0«»	head«»	owner«»	prev«T!»
GENO901	1.0	dragAndDrop	X		«[1D Drag and Drop Activity with questions and answ»	after«1D Greetings “Eintopf”»	cell0«»	head«»	owner«»	prev«p!»
GENO901	2.1	dragAndDrop	p p p X		«[Drag and drop activity]»	after«2E Read the mini dialogues.»	cell0«»	head«»	owner«»	prev«p»
GENO901	3.3	typing	h e		«[Placeholder Link to Fundamental GEFUN03 typing sp»	after«»	cell0«»	head«Grammar: nouns in German»	owner«»	prev«p!»
GENO901	5.2	typing	X		«[typing self-check] 5F»	after«5F Writing practice»	cell0«»	head«»	owner«»	prev«?»
GER1002	2.0	selectionBox	X		«[in the tick list, correct to this: all words in i»	after«»	cell0«»	head«»	owner«»	prev«p»
GEWHA	0.0	dropDown	X		«[Dropbox button]»	after«Upload it to the dropbox»	cell0«»	head«»	owner«»	prev«p»
HES1002	1.0	dropDown	X		«[Text for the dropdown]»	after«»	cell0«»	head«»	owner«»	prev«p!»
HES1005	7.0	modal	X		«[M Modal] [Insert media item 49]»	after«Contraceptive Methods»	cell0«»	head«»	owner«»	prev«X»
HES1005	7.0	dragAndDrop	E		«[Drag and Drop Activity] [Media Item 54]»	after«»	cell0«»	head«»	owner«»	prev«X!»
HES1006	7.0	clickDrop	X		«[Click drop] [Heading for tab]»	after«Food and nutrition»	cell0«»	head«»	owner«»	prev«I»
HES1006	7.0	clickDrop	X		«[Click drop] [Heading for tab]»	after«Sexuality and Relationships»	cell0«»	head«»	owner«»	prev«e!»
HES1006	7.0	clickDrop	X		«[Click drop] [Heading for tab]»	after«Mental Health»	cell0«»	head«»	owner«»	prev«e!»
HIS1001	0.0	multiChoiceQuiz	E		«[Image to go in the right-hand column beside the m»	after«»	cell0«»	head«»	owner«»	prev«p»
HIS1002	11.0	modal	h p e I p X		«[Please insert a full width modal box with the sou»	after«»	cell0«»	head«Source A»	owner«»	prev«p»
HIS1002	11.0	modal	h p e I p X		«[Please insert a full-width modal box with the sou»	after«»	cell0«»	head«Source B»	owner«»	prev«p»
HIS1003	7.0	interactive	X		«[Interactive] Please create a button with link to »	after«**Audio of Toby Hill:** https:»	cell0«»	head«»	owner«»	prev«p»
HIS1003	7.0	interactive	X		«[Interactive] Please create a button to take stude»	after«: https://docs.google.com/docu»	cell0«»	head«»	owner«»	prev«X»
HIS1005	2.0	interactive	e h p p X		«[Interactive]»	after«please embed this video with a»	cell0«»	head«Source 2 – Ani Mikaere»	owner«»	prev«h»
HPFUN102	0.0	unclassified	h p T		«[Activity] Tick box – scavenger hunt. Can you plea»	after«»	cell0«»	head«Let’s go hunting!»	owner«»	prev«p»
HPFUN201	0.0	unclassified	h p I T		«[Interactive activity]»	after«»	cell0«»	head«Reflecting on your qualities»	owner«»	prev«p»
HPFUN402	0.0	unclassified	h p I T		«[Activity] Drag and drop»	after«»	cell0«»	head«Sports and the equipment required for the environment»	owner«»	prev«p»
HPRE203	7.0	dropDown	h p p p e e p p		«[dropbox]»	after«»	cell0«»	head«Share your learning»	owner«»	prev«p»
JPN1004	3.0	typing	X		«[Self-check Typing Short Answers]»	after«»	cell0«»	head«»	owner«»	prev«p»
