pairs 1956; position-free ratio mean 73.082 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 229189 / claude 197222; EXTRA lines (claude over gold, per page) 45894; MISSING lines (gold over claude) 77861

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
    606    407   164     1174     898  div.alert  |  template=Standard 473 (0.78); subject=Leaving to Learn 125 (0.21); subject=NCEA1 121 (0.20); subject=1-10 English 89 (0.15)
    590    315   194     1484    2013  iframe  |  template=Standard 318 (0.54); template=Inquiry 181 (0.31); subject=1-10 Blended Literacy 173 (0.29); template=Fundamentals 77 (0.13)
    562    356   195     1065     836  ┌ 2× repeated block of 2:  |  template=Standard 398 (0.71); subject=1-10 Mathematics 126 (0.22); subject=NCEA1 113 (0.20); template=Fundamentals 93 (0.17)
    515    300   162      968     560  span.infoTrigger  |  template=Standard 414 (0.80); subject=NCEA1 161 (0.31); subject=1-10 English 114 (0.22); subject=1-10 Mathematics 75 (0.15)
    510    337   134      551      58  div.col-12.col-md-8.paddingR  |  template=Standard 421 (0.83); subject=1-10 Mathematics 113 (0.22); subject=NCEA1 84 (0.16); subject=Leaving to Learn 66 (0.13)
    467    213   122     1251    1637  i  |  template=Standard 295 (0.63); subject=1-10 English 138 (0.30); template=Inquiry 79 (0.17); template=Bilingual 57 (0.12)
    462    268   120      886     568  h2  |  template=Standard 296 (0.64); subject=NCEA1 81 (0.18); template=Inquiry 73 (0.16); subject=1-10 Mathematics 65 (0.14)
    455    319   191      956     931  ┌ 5× repeated:  |  template=Standard 358 (0.79); subject=1-10 Mathematics 102 (0.22); subject=1-10 English 61 (0.13); template=Inquiry 54 (0.12)
    434    233   145      919    1157  ol  |  template=Standard 305 (0.70); template=Inquiry 88 (0.20); subject=Leaving to Learn 62 (0.14); subject=1-10 English 60 (0.14)
    432    278   142      432       0  div.alertImage  |  template=Standard 312 (0.72); subject=1-10 Mathematics 132 (0.31); subject=1-10 English 80 (0.19); template=Inquiry 66 (0.15)
    392    288   113      392       0  div.col-12.col-md-4.offset-md-0.paddingL  |  template=Standard 344 (0.88); subject=NCEA1 122 (0.31); subject=1-10 Mathematics 101 (0.26); subject=1-10 English 41 (0.10)
    385    220   119      966    1080  div.ratio.ratio-16x9.videoSection  |  template=Standard 233 (0.61); template=Inquiry 120 (0.31); subject=1-10 Blended Literacy 98 (0.25); subject=Leaving to Learn 51 (0.13)
    375    287   178      461     116  div.alertActivity  |  template=Standard 284 (0.76); subject=1-10 Blended Literacy 81 (0.22); subject=NCEA1 67 (0.18); subject=1-10 Mathematics 60 (0.16)
    341    341   315      341       0  div.acks  |  template=Standard 250 (0.73); subject=1-10 Blended Literacy 88 (0.26); template=Inquiry 43 (0.13); subject=1-10 English 42 (0.12)
    316    223   146      631     839  div.table-responsive  |  template=Standard 264 (0.84); subject=1-10 Mathematics 97 (0.31); subject=1-10 Blended Literacy 67 (0.21); subject=1-10 English 55 (0.17)
    311    184   121      311       0  div.col-12.col-md-10  |  template=Standard 209 (0.67); subject=1-10 Blended Literacy 104 (0.33); template=Inquiry 55 (0.18); subject=1-10 English 47 (0.15)
    305     48    22      371      77  mn  |  template=Standard 289 (0.95); subject=1-10 Mathematics 239 (0.78); subject=NCEA1 49 (0.16); subject=ConnectED 13 (0.04)
    301    219   123      449     301  div.externalButton  |  template=Standard 220 (0.73); subject=1-10 Mathematics 79 (0.26); subject=NCEA1 57 (0.19); template=Fundamentals 50 (0.17)
    295     57    23      347      65  math  |  template=Standard 284 (0.96); subject=1-10 Mathematics 164 (0.56); subject=NCEA1 122 (0.41); subject=ConnectED 7 (0.02)
    274     40    17      302      32  mo  |  template=Standard 269 (0.98); subject=1-10 Mathematics 159 (0.58); subject=NCEA1 105 (0.38); subject=ConnectED 7 (0.03)
