Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 894
  gold h4 nested:activity → [('ANZH301', 'ANZH301_6_0.html', 'go to your journal'), ('ANZH404', 'ANZH404_3_0.html', 'go to your journal'), ('CEDR501', 'CEDR501_8_0.html', 'glossary of book features'), ('CEDT104', 'CEDT104_0_0.html', 'what is it')]
  gold h4 nested:alert → [('BLLR201', 'BLLR201_2_0.html', 'contraction spelling rules'), ('CEDT104', 'CEDT104_0_0.html', 'remember'), ('CEDT104', 'CEDT104_0_0.html', 'remember'), ('ENGC202', 'ENGC202_2_0.html', 'instructions draft')]
  gold h5 nested:alert → [('BLLR201', 'BLLR201_3_0.html', 'what have we learned'), ('ENGJ302', 'ENGJ302_6_0.html', 'format'), ('ENGJ302', 'ENGJ302_7_0.html', 'format')]
  gold h3 nested:activity → [('CEDK501', 'CEDK501_2_0.html', 'sorting expenses'), ('CEDK501', 'CEDK501_5_1.html', 'making a contribution'), ('CEDK501', 'CEDK501_7_0.html', 'identifying an objective'), ('CEDO105', 'CEDO105_1_0.html', 'what can you move')]
  gold h5 nested:table → [('CEDK501', 'CEDK501_2_0.html', 'k rero 1 talias goals'), ('CEDK501', 'CEDK501_2_0.html', 'k rero 2 alexs story'), ('ENGR302', 'ENGR302_7_0.html', 'the puppy'), ('ENGR302', 'ENGR302_7_0.html', 'the boy')]
  gold h3 inline after row → [('CEDO105', 'CEDO105_1_0.html', 'time to dance')]
  gold h4 inline after object → [('CEDO502', 'CEDO502_1_1.html', 'why manageable debt can be good')]
  gold h4 nested:panel → [('CEDT104', 'CEDT104_0_0.html', 'lets get ready'), ('CEDT104', 'CEDT104_0_0.html', 'watch and listen'), ('CEDT104', 'CEDT104_0_0.html', 'lets sing and move together'), ('CEDT104', 'CEDT104_0_0.html', 'fun facts about t r kau')]
  gold h3 nested:panel → [('CEDT104', 'CEDT104_0_0.html', 'what is a pepeha'), ('CEDT104', 'CEDT104_0_0.html', 'lets listen'), ('CEDT104', 'CEDT104_0_0.html', 'lets learn pepeha through movement'), ('CEDW201', 'CEDW201_0_0.html', 'lego story')]
  gold h2 row-open → [('CEDT501', 'CEDT501_8_0.html', 'clear respectful communication'), ('CEDT501', 'CEDT501_8_0.html', 'different cultural contexts'), ('HPRE203', 'HPRE203_7_0.html', 'congratulations'), ('PES1001', 'PES1001_5_0.html', 'sea level')]
