Claude row-opening h3 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h3: 2942
   gold h4 nested:activity                2 (0.01)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.01)  pages    2 / modules   1
   gold h2 nested:alert                   1 (0.01)  pages    1 / modules   1

== series=PES10 — Claude row-open h3: 141
   gold h3 row-open                      41 (0.29)  pages   25 / modules   5
   NOT-IN-GOLD                           31 (0.22)  pages   24 / modules   7
   gold h2 row-open                      28 (0.20)  pages   15 / modules   4
   gold h4 nested:alert                  20 (0.14)  pages   20 / modules   4
   gold h3 inline after p                 4 (0.03)  pages    4 / modules   2
   gold h3 inline after video             3 (0.02)  pages    3 / modules   1
   gold h2 inline after p                 3 (0.02)  pages    2 / modules   2
   gold h2 inline after video             2 (0.01)  pages    2 / modules   2
   gold h3 deep                           2 (0.01)  pages    2 / modules   2
   gold h2 deep                           2 (0.01)  pages    2 / modules   2
   gold h2 col-open                       1 (0.01)  pages    1 / modules   1
   gold h3 inline after a                 1 (0.01)  pages    1 / modules   1
   gold h3 nested:alert                   1 (0.01)  pages    1 / modules   1
   gold h2 nested:alert                   1 (0.01)  pages    1 / modules   1

== series=HIS10 — Claude row-open h3: 90
   gold h3 nested:activity               17 (0.19)  pages   11 / modules   6
   NOT-IN-GOLD                           17 (0.19)  pages   14 / modules   4
   gold h3 row-open                      16 (0.18)  pages   10 / modules   3
   gold h3 nested:alert                  14 (0.16)  pages   14 / modules   4
   gold h4 nested:alert                  11 (0.12)  pages    8 / modules   3
   gold h3 deep                           6 (0.07)  pages    2 / modules   1
   gold h3 inline after p                 3 (0.03)  pages    3 / modules   1
   gold h4 deep                           2 (0.02)  pages    1 / modules   1
   gold h3 col-open                       1 (0.01)  pages    1 / modules   1
   gold h2 deep                           1 (0.01)  pages    1 / modules   1
   gold h5 inline after h3                1 (0.01)  pages    1 / modules   1
   gold h4 nested:activity                1 (0.01)  pages    1 / modules   1

== series=XDLS9 — Claude row-open h3: 73
   NOT-IN-GOLD                           30 (0.41)  pages    8 / modules   5
   gold h3 nested:activity               14 (0.19)  pages    6 / modules   5
   gold h3 row-open                      12 (0.16)  pages    9 / modules   4
   gold h3 deep                           7 (0.10)  pages    1 / modules   1
   gold h4 nested:activity                2 (0.03)  pages    2 / modules   1
   gold h4 inline after p                 2 (0.03)  pages    2 / modules   2
   gold h3 inline after p                 2 (0.03)  pages    2 / modules   2
   gold h2 row-open                       1 (0.01)  pages    1 / modules   1
   gold h3 inline after row               1 (0.01)  pages    1 / modules   1
   gold h4 inline after br                1 (0.01)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1

== series=CEDO5 — Claude row-open h3: 65
   gold h3 row-open                      41 (0.63)  pages   17 / modules   2
   gold h3 nested:activity               12 (0.18)  pages    7 / modules   1
   NOT-IN-GOLD                            7 (0.11)  pages    5 / modules   2
   gold h2 row-open                       3 (0.05)  pages    2 / modules   1
   gold h3 inline after p                 2 (0.03)  pages    2 / modules   1

== series=PHE10 — Claude row-open h3: 64
   gold h3 row-open                      27 (0.42)  pages   17 / modules   7
   gold h3 col-open                      12 (0.19)  pages    8 / modules   4
   NOT-IN-GOLD                           12 (0.19)  pages    9 / modules   4
   gold h3 nested:activity                6 (0.09)  pages    6 / modules   5
   gold h3 inline after p                 3 (0.05)  pages    3 / modules   2
   gold h4 deep                           2 (0.03)  pages    2 / modules   1
   gold h3 inline after WIDGET            1 (0.02)  pages    1 / modules   1
   gold h3 inline after alert             1 (0.02)  pages    1 / modules   1

== series=HES10 — Claude row-open h3: 62
   gold h3 nested:activity               20 (0.32)  pages    8 / modules   2
   gold h3 row-open                      17 (0.27)  pages   13 / modules   3
   NOT-IN-GOLD                           15 (0.24)  pages   10 / modules   3
   gold h3 col-open                       7 (0.11)  pages    5 / modules   2
   gold h2 row-open                       1 (0.02)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.02)  pages    1 / modules   1
   gold h4 inline after row               1 (0.02)  pages    1 / modules   1

== series=ENGJ4 — Claude row-open h3: 60
   gold h3 row-open                      36 (0.60)  pages   17 / modules   2
   NOT-IN-GOLD                            9 (0.15)  pages    2 / modules   2
