Claude row-opening h4 → where the gold puts the same-text heading; pages scanned 1963

== ALL — Claude row-open h4: 1174
   gold h4 nested:activity                7 (0.03)  pages    6 / modules   5
   gold h4 inline after br                4 (0.02)  pages    2 / modules   2
   gold h4 nested:alert                   3 (0.01)  pages    3 / modules   2
   gold h5 deep                           3 (0.01)  pages    3 / modules   2
   gold h5 row-open                       2 (0.01)  pages    2 / modules   2
   gold h5 nested:activity                2 (0.01)  pages    1 / modules   1
   gold h5 nested:alert                   2 (0.01)  pages    2 / modules   1

== template+ptype=Fundamentals/overview — Claude row-open h4: 199
   NOT-IN-GOLD                           81 (0.41)  pages   14 / modules  14
   gold h4 inline after h3               35 (0.18)  pages    8 / modules   8
   gold h3 row-open                      25 (0.13)  pages    9 / modules   9
   gold h4 inline after list             16 (0.08)  pages    1 / modules   1
   gold h2 row-open                      11 (0.06)  pages    4 / modules   4
   gold h3 nested:activity                8 (0.04)  pages    5 / modules   5
   gold h2 inline after p                 4 (0.02)  pages    1 / modules   1
   gold h3 inline after list              3 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.01)  pages    1 / modules   1
   gold h3 inline after h2                2 (0.01)  pages    1 / modules   1
   gold h4 row-open                       2 (0.01)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.01)  pages    2 / modules   2
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after p                 1 (0.01)  pages    1 / modules   1

== template+ptype=Inquiry/overview — Claude row-open h4: 142
   NOT-IN-GOLD                           34 (0.24)  pages   10 / modules  10
   gold h3 inline after WIDGET           28 (0.20)  pages    3 / modules   3
   gold h4 nested:activity               22 (0.15)  pages    5 / modules   5
   gold h3 row-open                      19 (0.13)  pages    7 / modules   7
   gold h2 row-open                      11 (0.08)  pages    4 / modules   4
   gold h3 nested:activity                8 (0.06)  pages    2 / modules   2
   gold h2 inline after WIDGET            6 (0.04)  pages    1 / modules   1
   gold h3 col-open                       4 (0.03)  pages    2 / modules   2
   gold h4 deep                           2 (0.01)  pages    1 / modules   1
   gold h4 inline after h3                2 (0.01)  pages    2 / modules   2
   gold h4 nested:alert                   2 (0.01)  pages    1 / modules   1
   gold h3 inline after h2                1 (0.01)  pages    1 / modules   1
   gold h3 inline after div               1 (0.01)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1

== subject+ptype=Leaving to Learn/lesson — Claude row-open h4: 133
   NOT-IN-GOLD                           68 (0.51)  pages   18 / modules   7
   gold h3 nested:activity               16 (0.12)  pages    8 / modules   4
   gold h3 row-open                      14 (0.11)  pages    5 / modules   3
   gold h4 nested:alert                   9 (0.07)  pages    6 / modules   2
   gold h4 nested:activity                6 (0.05)  pages    4 / modules   2
   gold h4 inline after p                 4 (0.03)  pages    3 / modules   2
   gold h3 inline after p                 4 (0.03)  pages    4 / modules   3
   gold h4 inline after WIDGET            4 (0.03)  pages    2 / modules   2
   gold h4 row-open                       3 (0.02)  pages    2 / modules   2
   gold h3 nested:alert                   2 (0.02)  pages    2 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h4 inline after alert             1 (0.01)  pages    1 / modules   1
   gold h4 inline after img               1 (0.01)  pages    1 / modules   1

== series=XGF90 — Claude row-open h4: 125
   NOT-IN-GOLD                           72 (0.58)  pages   17 / modules   5
   gold h3 row-open                      16 (0.13)  pages    5 / modules   3
   gold h3 nested:activity               10 (0.08)  pages    6 / modules   3
   gold h4 nested:alert                   9 (0.07)  pages    6 / modules   2
   gold h3 deep                           5 (0.04)  pages    1 / modules   1
   gold h3 inline after p                 4 (0.03)  pages    4 / modules   3
   gold h4 nested:activity                3 (0.02)  pages    3 / modules   1
   gold h4 inline after p                 3 (0.02)  pages    2 / modules   1
   gold h3 nested:alert                   2 (0.02)  pages    2 / modules   1
   gold h5 row-open                       1 (0.01)  pages    1 / modules   1

== subject+ptype=1-10 Mathematics/lesson — Claude row-open h4: 88
   NOT-IN-GOLD                           42 (0.48)  pages   27 / modules  14
   gold h3 row-open                       7 (0.08)  pages    4 / modules   4
   gold h5 nested:table                   7 (0.08)  pages    1 / modules   1
   gold h4 inline after p                 5 (0.06)  pages    4 / modules   4
   gold h4 row-open                       5 (0.06)  pages    4 / modules   4
   gold h4 deep                           4 (0.05)  pages    2 / modules   2
   gold h4 inline after img               3 (0.03)  pages    3 / modules   3
   gold h4 nested:alert                   3 (0.03)  pages    2 / modules   2
   gold h3 nested:activity                2 (0.02)  pages    1 / modules   1
   gold h5 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h3 inline after p                 2 (0.02)  pages    1 / modules   1
   gold h4 inline after video             1 (0.01)  pages    1 / modules   1
   gold h3 inline after WIDGET            1 (0.01)  pages    1 / modules   1
   gold h4 inline after table             1 (0.01)  pages    1 / modules   1

== subject+ptype=Online Safety (OS9000)/lesson — Claude row-open h4: 86
   gold h4 row-open                      38 (0.44)  pages   23 / modules  13
   gold h4 inline after p                11 (0.13)  pages    9 / modules   8
   NOT-IN-GOLD                            8 (0.09)  pages    7 / modules   7
   gold h3 row-open                       5 (0.06)  pages    5 / modules   4
