pairs 2349; position-free ratio mean 72.549 % (the gate's difflib ratio is at most this; the gap is the ORDER loss)
total skeleton lines: gold 271762 / claude 233363; EXTRA lines (claude over gold, per page) 54848; MISSING lines (gold over claude) 93247

==== EXTRA — labels Claude ships more of than the gold on the same page (sum of per-page excess) ====
 excess  pages  mods gold-tot  cl-tot  label  |  where
deficit  pages  mods gold-tot  cl-tot  label  |  where
   6869   1254   409    31765   29519  p  |  template=Standard 4870 (0.71); subject=NCEA1 1317 (0.19); subject=1-10 Mathematics 1211 (0.18); template=Fundamentals 929 (0.14)
   6557   1140   375    32150   30632  div.row  |  template=Standard 4745 (0.72); subject=NCEA1 1536 (0.23); subject=1-10 Mathematics 1122 (0.17); template=Fundamentals 701 (0.11)
   3914   1090   369    11483    9973  ┌ 2× repeated:  |  template=Standard 2522 (0.64); subject=1-10 Mathematics 773 (0.20); subject=NCEA1 673 (0.17); template=Inquiry 515 (0.13)
   3507   1086   350    12928   10617  h3  |  template=Standard 2444 (0.70); subject=1-10 Mathematics 690 (0.20); subject=NCEA1 687 (0.20); template=Inquiry 514 (0.15)
   3221   1075   381    10697    9226  div.col-12  |  template=Standard 2337 (0.73); subject=NCEA1 963 (0.30); template=Inquiry 412 (0.13); subject=1-10 Blended Literacy 362 (0.11)
   2922   1078   404     9784    7937  WIDGET  |  template=Standard 2079 (0.71); subject=1-10 Mathematics 612 (0.21); subject=NCEA1 510 (0.17); template=Inquiry 391 (0.13)
   2567    830   327     2570       3  br  |  template=Standard 1985 (0.77); subject=1-10 Mathematics 723 (0.28); subject=1-10 English 459 (0.18); subject=NCEA1 458 (0.18)
   2548    920   358     5214    3657  img.img-fluid  |  template=Standard 1833 (0.72); subject=1-10 Mathematics 614 (0.24); subject=NCEA1 393 (0.15); subject=1-10 Blended Literacy 373 (0.15)
   2463    669   253    17683   20995  div.col-12.col-md-8  |  template=Standard 1874 (0.76); subject=NCEA1 673 (0.27); subject=1-10 Mathematics 426 (0.17); template=Fundamentals 263 (0.11)
   2456    869   334    13818   13053  li  |  template=Standard 2014 (0.82); subject=NCEA1 440 (0.18); subject=1-10 Mathematics 413 (0.17); subject=1-10 English 325 (0.13)
   1727    807   310     2992    1974  h4  |  template=Standard 1332 (0.77); subject=NCEA1 450 (0.26); subject=1-10 English 271 (0.16); subject=1-10 Mathematics 214 (0.12)
   1720    821   361     4386    3745  ┌ 3× repeated:  |  template=Standard 1233 (0.72); template=Inquiry 292 (0.17); subject=1-10 Blended Literacy 271 (0.16); subject=NCEA1 268 (0.16)
   1716    762   296     5703    4954  ul  |  template=Standard 1412 (0.82); subject=1-10 Mathematics 321 (0.19); subject=NCEA1 271 (0.16); subject=1-10 English 243 (0.14)
   1705    592   272     4890    5732  b  |  template=Standard 1154 (0.68); template=Fundamentals 360 (0.21); subject=NCEA1 302 (0.18); subject=1-10 English 278 (0.16)
   1624    794   324     1733     133  div.col-12.col-md-12  |  template=Standard 1203 (0.74); subject=1-10 Mathematics 266 (0.16); subject=1-10 Blended Literacy 222 (0.14); subject=1-10 English 216 (0.13)
   1422    334   191     2037    1588  td  |  template=Standard 1259 (0.89); subject=NCEA1 435 (0.31); subject=1-10 Mathematics 347 (0.24); subject=1-10 English 177 (0.12)
   1414    733   263     3887    3997  a  |  template=Standard 1133 (0.80); subject=NCEA1 426 (0.30); subject=1-10 Mathematics 290 (0.21); template=Inquiry 173 (0.12)
   1252    727   241     2177    1631  div.button  |  template=Standard 1033 (0.83); subject=NCEA1 405 (0.32); subject=1-10 Mathematics 288 (0.23); subject=1-10 English 164 (0.13)
   1230    409   226     1381     271  div.clickDropContent  |  template=Standard 766 (0.62); template=Inquiry 385 (0.31); subject=1-10 Blended Literacy 374 (0.30); subject=NCEA1 185 (0.15)
   1085    563   175     1085       0  iframe.embed-responsive-item  |  template=Standard 809 (0.75); subject=NCEA1 360 (0.33); subject=1-10 Mathematics 276 (0.25); template=Fundamentals 147 (0.14)
    977    530   188     2697    3029  h5  |  template=Standard 837 (0.86); subject=1-10 Mathematics 242 (0.25); subject=NCEA1 181 (0.19); subject=1-10 English 159 (0.16)
    973    580   317     2511    2337  ┌ 4× repeated:  |  template=Standard 735 (0.76); subject=1-10 Mathematics 179 (0.18); subject=NCEA1 152 (0.16); subject=1-10 English 129 (0.13)
    891    477   205     1509     836  div.icon.ratio.ratio-16x9.videoSection  |  template=Standard 588 (0.66); subject=NCEA1 230 (0.26); subject=1-10 Mathematics 200 (0.22); template=Inquiry 179 (0.20)
    865    307   184     1534    1843  tr  |  template=Standard 754 (0.87); subject=NCEA1 218 (0.25); subject=1-10 Mathematics 211 (0.24); subject=1-10 English 131 (0.15)
    783    298   122     3571    2848  span  |  template=Standard 668 (0.85); subject=1-10 English 209 (0.27); subject=1-10 Mathematics 208 (0.27); subject=ANZH 118 (0.15)
    744    520   206     1415    1039  div.alert  |  template=Standard 596 (0.80); subject=NCEA1 187 (0.25); subject=Leaving to Learn 125 (0.17); subject=1-10 English 112 (0.15)
    740    481   208      780     134  div.col-12.col-md-4.offset-md-0  |  template=Standard 601 (0.81); subject=1-10 Mathematics 146 (0.20); subject=NCEA1 109 (0.15); subject=1-10 English 106 (0.14)
    713    379   224     1761    2219  iframe  |  template=Standard 404 (0.57); template=Inquiry 189 (0.27); subject=1-10 Blended Literacy 183 (0.26); subject=1-10 Languages 106 (0.15)
    674    440   231     1255     991  ┌ 2× repeated block of 2:  |  template=Standard 503 (0.75); subject=NCEA1 195 (0.29); subject=1-10 Mathematics 126 (0.19); template=Fundamentals 100 (0.15)
    666    437   178      707      58  div.col-12.col-md-8.paddingR  |  template=Standard 546 (0.82); subject=NCEA1 165 (0.25); subject=1-10 Mathematics 113 (0.17); template=Fundamentals 77 (0.12)
    651    379   162     1154     653  h2  |  template=Standard 423 (0.65); subject=NCEA1 152 (0.23); template=Fundamentals 122 (0.19); template=Inquiry 73 (0.11)
    640    366   196     1181     669  span.infoTrigger  |  template=Standard 506 (0.79); subject=NCEA1 218 (0.34); subject=1-10 English 127 (0.20); template=Fundamentals 100 (0.16)
    597    262   153     1518    1974  i  |  template=Standard 377 (0.63); subject=1-10 English 146 (0.24); template=Fundamentals 82 (0.14); template=Inquiry 81 (0.14)
    531    378   224     1118    1086  ┌ 5× repeated:  |  template=Standard 425 (0.80); subject=1-10 Mathematics 107 (0.20); subject=NCEA1 72 (0.14); subject=1-10 English 69 (0.13)
    519    285   175     1065    1356  ol  |  template=Standard 376 (0.72); subject=NCEA1 101 (0.19); template=Inquiry 88 (0.17); subject=1-10 English 73 (0.14)
    494     32    11      494       0  span.ch-text  |  subject=1-10 Languages 278 (0.56); template=Fundamentals 276 (0.56); template=Standard 216 (0.44); subject=NCEA1 215 (0.44)
    483    350   144      483       0  div.col-12.col-md-4.offset-md-0.paddingL  |  template=Standard 416 (0.86); subject=NCEA1 154 (0.32); subject=1-10 Mathematics 101 (0.21); subject=1-10 English 47 (0.10)
    481    307   163      481       0  div.alertImage  |  template=Standard 346 (0.72); subject=1-10 Mathematics 132 (0.27); subject=1-10 English 98 (0.20); template=Inquiry 68 (0.14)
    478    272   137     1204    1356  div.ratio.ratio-16x9.videoSection  |  template=Standard 301 (0.63); template=Inquiry 120 (0.25); subject=1-10 Blended Literacy 100 (0.21); subject=1-10 Languages 73 (0.15)
    415    321   198      505     134  div.alertActivity  |  template=Standard 317 (0.76); subject=NCEA1 85 (0.20); subject=1-10 Blended Literacy 81 (0.20); subject=1-10 Mathematics 59 (0.14)
    415    281   173      781     973  div.table-responsive  |  template=Standard 353 (0.85); subject=1-10 Mathematics 109 (0.26); subject=NCEA1 77 (0.19); subject=1-10 Blended Literacy 69 (0.17)
    360    360   334      360       0  div.acks  |  template=Standard 266 (0.74); subject=1-10 Blended Literacy 88 (0.24); subject=NCEA1 49 (0.14); template=Inquiry 45 (0.12)
    332    198   133      332       0  div.col-12.col-md-10  |  template=Standard 215 (0.65); subject=1-10 Blended Literacy 104 (0.31); template=Inquiry 55 (0.17); template=Fundamentals 54 (0.16)
    323    240   137      531     447  div.externalButton  |  template=Standard 250 (0.77); subject=NCEA1 93 (0.29); subject=1-10 Mathematics 68 (0.21); template=Fundamentals 49 (0.15)
    323     24     9      323       0  span.pinyin  |  template=Fundamentals 215 (0.67); subject=1-10 Languages 215 (0.67); template=Standard 108 (0.33); subject=NCEA1 108 (0.33)
    311    223   156      504     257  div.flipCardsContainer.row  |  template=Standard 195 (0.63); template=Inquiry 58 (0.19); subject=1-10 Blended Literacy 49 (0.16); template=Fundamentals 48 (0.15)
    310    147    82      310       0  div.col-8  |  template=Standard 154 (0.50); template=Inquiry 89 (0.29); subject=1-10 Blended Literacy 86 (0.28); template=Fundamentals 66 (0.21)
    308     68    40      308       0  div.audioImage  |  template=Bilingual 115 (0.37); subject=Te Marautanga o Aotearoa TMoA 115 (0.37); subject=1-10 Blended Literacy 106 (0.34); template=Standard 84 (0.27)
    305     48    22      371      77  mn  |  template=Standard 289 (0.95); subject=1-10 Mathematics 239 (0.78); subject=NCEA1 49 (0.16); subject=ConnectED 13 (0.04)
    303    245   179      652     766  ┌ 6× repeated:  |  template=Standard 220 (0.73); subject=1-10 Mathematics 55 (0.18); subject=NCEA1 43 (0.14); subject=1-10 English 38 (0.13)
    295     57    23      347      65  math  |  template=Standard 284 (0.96); subject=1-10 Mathematics 164 (0.56); subject=NCEA1 122 (0.41); subject=ConnectED 7 (0.02)
    292    221   128      333     109  div.alert.top  |  template=Standard 212 (0.73); subject=NCEA1 103 (0.35); template=Fundamentals 65 (0.22); subject=1-10 English 43 (0.15)
    280    156    73      358     108  div.col-12.col-md-6.offset-md-0  |  template=Standard 231 (0.82); subject=ANZH 95 (0.34); subject=1-10 Mathematics 62 (0.22); subject=1-10 Social Science 26 (0.09)
    274     40    17      302      32  mo  |  template=Standard 269 (0.98); subject=1-10 Mathematics 159 (0.58); subject=NCEA1 105 (0.38); subject=ConnectED 7 (0.03)
    262    152    99      509     758  th  |  template=Standard 234 (0.89); subject=1-10 Mathematics 78 (0.30); subject=1-10 English 57 (0.22); subject=NCEA1 44 (0.17)
    260     34    15      306      47  mi  |  template=Standard 260 (1.00); subject=NCEA1 177 (0.68); subject=1-10 Mathematics 80 (0.31); subject=ConnectED 2 (0.01)
    255    177   102      255       0  div.col-12.col-md-4.paddingL  |  template=Standard 201 (0.79); subject=NCEA1 62 (0.24); subject=ConnectED 31 (0.12); template=Fundamentals 31 (0.12)
    251    166   106      264      91  div.col-12.col-md-4  |  template=Standard 171 (0.68); subject=1-10 Blended Literacy 36 (0.14); subject=NCEA1 35 (0.14); template=Bilingual 31 (0.12)
    249    237   163      277      31  div.hintDropContent  |  template=Standard 226 (0.91); subject=NCEA1 67 (0.27); subject=1-10 English 50 (0.20); subject=1-10 Mathematics 37 (0.15)
    248    167    56      548     872  h4.goJournal  |  template=Standard 239 (0.96); subject=1-10 English 71 (0.29); subject=1-10 Mathematics 61 (0.25); subject=NCEA1 33 (0.13)

run 72.8 s
