TEDC402	3.0	dragAndDrop	h p p X		«[drag and drop matching]»	after«»	cell0«»	head«**FDE matching meanings**»	owner«[Activity]#2D»	owned
TEDC402	6.0	dragAndDrop	h p ?		«[drag and drop]»	after«»	cell0«»	head«**Match the chart to the data**»	owner«[Activity]#5B»	owned
TEDC402	6.0	dropDown	h p X		«[clickdrops + PDF modals + drop box]»	after«»	cell0«»	head«**Your turn: Create your visualisation**»	owner«[Activity]#5E»	owned
TEDC402	8.0	dragAndDrop	h X		«[2 x drag and drop]»	after«»	cell0«»	head«**Smooth as smoothies**»	owner«[Activity]#7A»	owned
TEFUN02	0.0	dragAndDrop	h p I p p p p p		«[Drop and Drag AutoCheck]»	after«»	cell0«»	head«Create a brief»	owner«[ACTIVITY 3A]#3A»	owned
TEFUN02	0.0	multiChoiceQuiz	h p I p p p p p		«[go to quiz] [trigger engagement]»	after«»	cell0«»	head«Presentation power»	owner«[ACTIVITY 3D]#3D»	owned
TEFUN05	0.0	dragAndDrop	h p e ?		«[Embed Drop and Drag AutoCheck Activity] [trigger »	after«»	cell0«»	head«The right improvement?»	owner«[ACTIVITY 3A]#3A»	owned
TEFUN05	0.0	multiChoiceQuiz	h p I p p p p p		«[Go to quiz] [trigger engagement]»	after«»	cell0«»	head«Which design?»	owner«[ACTIVITY 4A]#4A»	owned
WJFUN211	0.0	dropDown	h p p p p p ?		«[Dropdown quiz – Auto check] [Please arrange this »	after«»	cell0«»	head«**Part One: Choose the Best Language**»	owner«[Activity 1C]#1C»	owned
WJFUN304	0.0	multiChoiceQuiz	h p p ?		«[multi choice questions 1-6] [short answer autoche»	after«»	cell0«»	head«Identify the voice»	owner«[Activity 3A]#3A»	owned
XGF9002	4.0	multiChoiceQuiz	h p X		«[Insert multichoice with pop-outs for feedback]»	after«»	cell0«»	head«1. Which space best supports a gifted child’s learning and w»	owner«[Activity 4A]#4A»	owned
XGF9004	8.0	multiChoiceQuiz	h p p ?		«[Insert interactive multichoice quiz. Correct answ»	after«»	cell0«»	head«Questions»	owner«[Activity 7C]#7C»	owned
